tamanho_vetor,Insertion,Selection,Bubble,Merge,Quick,Shell,Radix
1923,0.055556233,20.493622933,0.048257900,0.665972933,22.528849600,0.714750133,0.280819833
3846,0.088252067,82.003849467,0.096766300,1.347757333,88.900916167,1.578884867,0.711339433
5769,0.128974167,183.525074000,0.143709667,2.071126067,201.067201000,2.592700867,1.093598067
7692,0.174816133,336.940628033,0.191904300,2.703645167,357.704795033,3.420334833,1.423653600
9615,0.213853167,525.224133533,0.238835333,3.402995233,567.631187733,4.702708100,1.808514833
11538,0.287207467,807.887518267,0.285260967,4.117498500,800.056214100,5.595106300,2.140751067
13461,0.300539133,1028.817009533,0.335288100,4.831424633,1089.580515433,6.503288967,2.476512067
15384,0.344733433,1400.561408700,0.386458200,5.450628567,1417.019493200,7.459916733,2.877520300
17307,0.387324133,1678.097126533,0.439700000,6.135880500,1788.487273967,8.994480167,3.212446033
19230,0.440439733,2005.353693033,0.485994667,6.844659333,2209.948893900,9.980031567,3.545855400
21153,0.477201633,2420.154169100,0.533021400,7.530267167,2679.735427800,10.971475667,4.762843533
23076,0.528202933,2878.834777833,0.576713167,8.270940833,3177.133162100,11.968236033,5.187973400
24999,0.561984400,3381.357667667,0.627220733,8.982746700,3728.489573700,12.966825767,5.627948900
26922,0.628351833,3912.035799733,0.673811333,9.712175133,4335.142093933,13.949164200,6.051274700
28845,0.646987267,4493.147574700,0.725413733,10.381402167,4969.847052500,14.946529533,6.488600767
30768,0.689132433,5113.284619700,0.770023233,11.405066833,5656.623659300,15.939409067,6.922009867
32691,0.731943633,5767.572418767,0.816789633,11.655369233,6376.350005433,16.949141467,7.354618000
34614,0.775953867,6463.827022533,0.869782533,12.424006533,7156.317297767,19.211261533,7.787130467
36537,0.814646333,7204.193539000,0.940453367,13.140860333,7980.685766133,20.271780767,8.217899000
38460,0.859140367,7982.060853533,0.970169767,14.009461900,8833.780663167,21.339498600,8.657931733
40383,0.905509100,8808.515045467,1.017325167,14.440104900,9751.895253067,22.415932667,9.088506533
42306,0.944787833,9671.447409467,1.064065800,15.183462700,10735.859893567,23.470670000,9.532340300
44229,0.990018533,10559.079185733,1.110621167,15.958793233,11753.978312333,24.551105100,9.960393633
46152,1.033325933,11501.920939100,1.161543867,16.670822367,12757.907987267,25.602269700,10.393481200
48075,1.096041600,12476.463239567,1.210613167,17.409100067,13884.133153033,26.890071467,10.815279200
49998,1.114893400,13491.751391767,1.255759100,18.108425000,15091.307986933,27.769525000,11.266017533
